{'Loss': 7.173690954057297, 'MEPLoss': 6.600436855070662, 'MEPf1': 0.00023549445904791355, 'MEPacc': 0.0005171686643734574, 'RCCLoss': 0.5732540921999676, 'RCCf1': 0.6598076820373535, 'RCCacc': 0.6888707876205444}
{'Loss': 6.987708705486638, 'MEPLoss': 6.550447737816537, 'MEPf1': 0.000653125112876296, 'MEPacc': 0.0015537961153313518, 'RCCLoss': 0.43726097895662386, 'RCCf1': 0.8073925971984863, 'RCCacc': 0.8098095059394836}
{'Loss': 6.879973949772297, 'MEPLoss': 6.48450228719428, 'MEPf1': 0.0004354438278824091, 'MEPacc': 0.0013575039338320494, 'RCCLoss': 0.3954716711351187, 'RCCf1': 0.828813374042511, 'RCCacc': 0.8302345275878906}
{'Loss': 6.854464051747086, 'MEPLoss': 6.4757499529583615, 'MEPf1': 0.00048301854985766113, 'MEPacc': 0.0013842247426509857, 'RCCLoss': 0.3787141083785803, 'RCCf1': 0.8364216089248657, 'RCCacc': 0.8389257192611694}
{'Loss': 6.811708674572482, 'MEPLoss': 6.46674106852843, 'MEPf1': 0.0006700856611132622, 'MEPacc': 0.0018080020090565085, 'RCCLoss': 0.34496762135093756, 'RCCf1': 0.856722354888916, 'RCCacc': 0.8589843511581421}
{'Loss': 6.78429906675131, 'MEPLoss': 6.450129789881187, 'MEPf1': 0.0007149875746108592, 'MEPacc': 0.001857415889389813, 'RCCLoss': 0.33416927805041324, 'RCCf1': 0.8540841937065125, 'RCCacc': 0.8566920757293701}
{'Loss': 6.76216199610493, 'MEPLoss': 6.453074141304092, 'MEPf1': 0.0006882441812194884, 'MEPacc': 0.0018849828047677875, 'RCCLoss': 0.30908785775156306, 'RCCf1': 0.8701492547988892, 'RCCacc': 0.8704071640968323}
{'Loss': 6.72650681391801, 'MEPLoss': 6.451128940771122, 'MEPf1': 0.0006996364099904895, 'MEPacc': 0.001996883423998952, 'RCCLoss': 0.2753778839539183, 'RCCf1': 0.8818456530570984, 'RCCacc': 0.8856068253517151}
{'Loss': 6.7250541106309045, 'MEPLoss': 6.438501494945866, 'MEPf1': 0.0008590698707848787, 'MEPacc': 0.002107779961079359, 'RCCLoss': 0.2865526266580466, 'RCCf1': 0.8806331753730774, 'RCCacc': 0.8837552070617676}
{'Loss': 6.696463702928902, 'MEPLoss': 6.432009857479889, 'MEPf1': 0.0009490762604400516, 'MEPacc': 0.002213315339758992, 'RCCLoss': 0.2644538347526352, 'RCCf1': 0.8826785683631897, 'RCCacc': 0.8853682279586792}
{'Loss': 6.664164762685795, 'MEPLoss': 6.429333757646013, 'MEPf1': 0.0010084023233503103, 'MEPacc': 0.0022843219339847565, 'RCCLoss': 0.23483101455586972, 'RCCf1': 0.9008322358131409, 'RCCacc': 0.9008065462112427}
