{'Loss': 6.907541513442993, 'MEPLoss': 6.469827995300293, 'MEPf1': 0.00040431279921904206, 'MEPacc': 0.0013629656750708818, 'RCCLoss': 0.4377134907245636, 'RCCf1': 0.7955653071403503, 'RCCacc': 0.81977778673172}
{'Loss': 6.736489143371582, 'MEPLoss': 6.424291715621949, 'MEPf1': 0.0006975920987315476, 'MEPacc': 0.0018596012378111482, 'RCCLoss': 0.31219745814800265, 'RCCf1': 0.8586456775665283, 'RCCacc': 0.8666664958000183}
{'Loss': 6.691269578933716, 'MEPLoss': 6.395909271240234, 'MEPf1': 0.0010483319638296962, 'MEPacc': 0.0023152604699134827, 'RCCLoss': 0.29536029174923895, 'RCCf1': 0.8506240844726562, 'RCCacc': 0.8662219643592834}
{'Loss': 6.641131420135498, 'MEPLoss': 6.394324731826782, 'MEPf1': 0.0011200325097888708, 'MEPacc': 0.0026206974871456623, 'RCCLoss': 0.24680666610598564, 'RCCf1': 0.9075361490249634, 'RCCacc': 0.9011111855506897}
{'Loss': 6.629348268508911, 'MEPLoss': 6.395001306533813, 'MEPf1': 0.0011044865241274238, 'MEPacc': 0.0025400170125067234, 'RCCLoss': 0.23434695921838283, 'RCCf1': 0.9079719185829163, 'RCCacc': 0.9042220711708069}
{'Loss': 6.60749382019043, 'MEPLoss': 6.394202585220337, 'MEPf1': 0.0010791199747473001, 'MEPacc': 0.0023225825279951096, 'RCCLoss': 0.21329119987785816, 'RCCf1': 0.9144921898841858, 'RCCacc': 0.9151113033294678}
{'Loss': 6.585056591033935, 'MEPLoss': 6.4001101303100585, 'MEPf1': 0.001128553762100637, 'MEPacc': 0.002685429761186242, 'RCCLoss': 0.1849464701116085, 'RCCf1': 0.9126695990562439, 'RCCacc': 0.9166667461395264}
{'Loss': 6.6341250610351565, 'MEPLoss': 6.407560796737671, 'MEPf1': 0.0013285249006003141, 'MEPacc': 0.002663690596818924, 'RCCLoss': 0.22656422771513463, 'RCCf1': 0.9119396209716797, 'RCCacc': 0.9144443869590759}
{'Loss': 6.5863979530334475, 'MEPLoss': 6.386941757202148, 'MEPf1': 0.0014728427631780505, 'MEPacc': 0.0028676569927483797, 'RCCLoss': 0.19945622853934764, 'RCCf1': 0.9191190600395203, 'RCCacc': 0.9197778701782227}
{'Loss': 6.54594612121582, 'MEPLoss': 6.376604995727539, 'MEPf1': 0.0014013060135766864, 'MEPacc': 0.0027719333302229643, 'RCCLoss': 0.16934115707874298, 'RCCf1': 0.9302319288253784, 'RCCacc': 0.933777928352356}
{'Loss': 6.656824350357056, 'MEPLoss': 6.366436338424682, 'MEPf1': 0.0014835539041087031, 'MEPacc': 0.002873490797355771, 'RCCLoss': 0.290388005822897, 'RCCf1': 0.8843534588813782, 'RCCacc': 0.9046666026115417}
{'Loss': 6.578835983276367, 'MEPLoss': 6.37766996383667, 'MEPf1': 0.0015383769059553742, 'MEPacc': 0.0031544817611575127, 'RCCLoss': 0.20116602897644043, 'RCCf1': 0.9305632710456848, 'RCCacc': 0.9257779717445374}
{'Loss': 6.559251718521118, 'MEPLoss': 6.370708408355713, 'MEPf1': 0.0014929715543985367, 'MEPacc': 0.0028912718407809734, 'RCCLoss': 0.18854327455163003, 'RCCf1': 0.9308581948280334, 'RCCacc': 0.9302222728729248}
{'Loss': 6.554709987640381, 'MEPLoss': 6.3588066673278805, 'MEPf1': 0.0016448545502498746, 'MEPacc': 0.0031544165685772896, 'RCCLoss': 0.19590334922075273, 'RCCf1': 0.9278663992881775, 'RCCacc': 0.9328889846801758}
{'Loss': 6.568621520996094, 'MEPLoss': 6.364709396362304, 'MEPf1': 0.0016557127237319946, 'MEPacc': 0.0031589027494192123, 'RCCLoss': 0.20391213666647673, 'RCCf1': 0.9270853400230408, 'RCCacc': 0.9295555949211121}
{'Loss': 6.619687061309815, 'MEPLoss': 6.376214008331299, 'MEPf1': 0.0017905907006934285, 'MEPacc': 0.0032723865006119013, 'RCCLoss': 0.24347301963716744, 'RCCf1': 0.9084920287132263, 'RCCacc': 0.9142223000526428}
{'Loss': 6.562745552062989, 'MEPLoss': 6.355124416351319, 'MEPf1': 0.0019241656409576535, 'MEPacc': 0.003256728872656822, 'RCCLoss': 0.20762112330645321, 'RCCf1': 0.9224845767021179, 'RCCacc': 0.9277779459953308}
{'Loss': 6.565593719482422, 'MEPLoss': 6.334570980072021, 'MEPf1': 0.0023741223849356174, 'MEPacc': 0.0038924370892345905, 'RCCLoss': 0.23102275505661965, 'RCCf1': 0.9236553907394409, 'RCCacc': 0.927555501461029}
